video_id,title,published_at,channel,view_count,like_count,comment_count,duration,platform
HiDGfFOzfnk,He’s bully-proof #funny #viral #family #fypシ #shorts,2023-06-24T14:00:43Z,The Gabriels,324717105,7287427,84463,PT10S,youtube
y-ZOvOmCf48,new trio ❤️ #shorts #shortsviral #tiktok,2025-08-16T13:30:53Z,ROCK SQUAD,24713302,118994,16701,PT11S,youtube
9JsL7wexSgI,Exposing The Most Viral Clip Of The Year 🙈 #Shorts,2021-08-27T14:57:18Z,Brandon B,53457896,1628814,4670,PT11S,youtube
avJE9hN5sy4,EXCUSE ME BRUH!😆#shorts #tiktok #trending,2023-01-26T20:59:25Z,ROCK SQUAD,54219737,1095149,7236,PT12S,youtube
AC52z5Amf_w,#viralreels #baile #viralshort #viralvideo #bailando #vlog #viralshorts,2025-04-07T21:00:18Z,El Vlog Del Calentano ,16054665,169723,1114,PT16S,youtube
hd2hiquQZVw,BESTIE DANCE!❤️#shorts #shortsviral #funnyshorts,2023-07-16T19:32:23Z,ROCK SQUAD,171998436,1975950,33527,PT10S,youtube
DhN4B8J3HzA,THIS WAS TOO FUNNY 🤣🤣#dance #shorts #short,2025-06-03T17:29:05Z,Venus Monee,9643231,62509,426,PT11S,youtube
v_7-d9rdgsI,is your stress really that big?🥹 #humanity #respect #shorts #viral #shortsfeed #trending,2026-04-13T15:11:00Z,vowsbykrishna,9038,134,9,PT12S,youtube
Nh7wN1_0VyQ,21.86 Germ almost jumped A record again 🤯 #fy #fierljeppen #sports #viralshorts,2025-07-09T19:16:11Z,Epicfierljeppen,571297289,6896161,24865,PT17S,youtube
tIbOxVez96E,DO THIS To GO VIRAL on YouTube Shorts FAST #shorts,2024-07-16T19:40:43Z,Robert Benjamin,699107,28867,1308,PT41S,youtube
hx265ujsLVU,🙄  #viral #shorts,2024-04-16T10:17:31Z,H&T Official,158712947,5607365,20096,PT38S,youtube
iIQs4OV9HvE,trolli gummy popsicle #funny #shorts #youtubeshorts #fyp,2025-02-03T01:22:14Z,EBB Super Star,36192277,316029,1522,PT19S,youtube
